UTS,YS,C,Mn,Si,S,P,Cr,Ni,Mo
548.9,261.1,0.05,0.894,1.262,0.01,0.04,18.202,8.119,0.231
548.9,261.1,0.05,0.894,1.262,0.01,0.04,18.202,8.119,0.231
562.1,279.3,0.05,0.886,1.246,0.01,0.04,18.246,8.166,0.232
530.5,250.9,0.049,0.873,1.241,0.01,0.04,18.217,8.181,0.228
530.5,250.9,0.049,0.873,1.241,0.01,0.04,18.217,8.181,0.228
559.8,275.1,0.049,0.888,1.205,0.01,0.03,18.206,8.141,0.235
579.6,256.8,0.047,0.891,1.279,0.01,0.04,18.205,8.21,0.248
579.6,256.8,0.047,0.891,1.279,0.01,0.04,18.205,8.21,0.248
560.1,290.1,0.049,0.842,1.188,0.01,0.04,18.209,8.257,0.226
560.1,290.1,0.049,0.842,1.188,0.01,0.04,18.209,8.257,0.226
558.6,277.5,0.051,0.834,1.211,0.01,0.03,18.222,8.114,0.253
558.6,277.5,0.051,0.834,1.211,0.01,0.03,18.222,8.114,0.253
580.5,295.3,0.045,0.86,1.192,0.01,0.04,18.219,8.164,0.224
530.2,286.1,0.049,0.751,1.253,0.01,0.03,18.263,8.248,0.24
530.2,286.1,0.049,0.751,1.253,0.01,0.03,18.263,8.248,0.24
520.8,271.3,0.048,0.79,1.223,0.01,0.03,18.124,8.112,0.208
520.8,271.3,0.048,0.79,1.223,0.01,0.03,18.124,8.112,0.208
523.7,280.3,0.051,0.81,1.22,0.01,0.04,18.183,8.212,0.212
523.7,280.3,0.051,0.81,1.22,0.01,0.04,18.183,8.212,0.212
528.9,292.6,0.049,0.844,1.256,0.01,0.04,18.119,8.109,0.223
535.6,288.7,0.049,0.869,1.248,0.01,0.03,18.16,8.042,0.222
535.6,288.7,0.049,0.869,1.248,0.01,0.03,18.16,8.042,0.222
580.1,251.9,0.051,0.824,1.201,0.01,0.04,18.252,8.27,0.232
580.1,251.9,0.051,0.824,1.201,0.01,0.04,18.252,8.27,0.232
573.6,282.6,0.055,0.818,1.227,0.01,0.03,18.136,8.01,0.234
573.6,282.6,0.055,0.818,1.227,0.01,0.03,18.136,8.01,0.234
565.1,283.7,0.048,0.824,1.172,0.01,0.04,18.346,8.205,0.211
551.8,285.6,0.055,0.848,1.197,0.01,0.03,18.255,8.267,0.224
